 TERM	 COLLEGE	 DEPARTMENT	 CRN	 SUBJ	 NUM	 SECT	 TITLE	 SCHEDULE	 ENROLLMENT
 Fall 2012	 Liberal Arts & Sciences	 Anthropology	 57558	 ANTH	 143	 23	 Biology of Human Behavior	 Online	 25
 Fall 2012	 Liberal Arts & Sciences	 Anthropology	 57559	 ANTH	 143	 24	 Biology of Human Behavior	 Online	 26
 Fall 2012	 Liberal Arts & Sciences	 Anthropology	 57519	 ANTH	 143	 3	 Biology of Human Behavior	 Online	 29
 Fall 2012	 Liberal Arts & Sciences	 Anthropology	 57520	 ANTH	 143	 4	 Biology of Human Behavior	 Online	 29
 Fall 2012	 Liberal Arts & Sciences	 Anthropology	 57521	 ANTH	 143	 5	 Biology of Human Behavior	 Online	 30
 Fall 2012	 Liberal Arts & Sciences	 Anthropology	 57522	 ANTH	 143	 6	 Biology of Human Behavior	 Online	 26
 Fall 2012	 Liberal Arts & Sciences	 Anthropology	 57523	 ANTH	 143	 7	 Biology of Human Behavior	 Online	 28
 Fall 2012	 Liberal Arts & Sciences	 Anthropology	 57524	 ANTH	 143	 8	 Biology of Human Behavior	 Online	 29
 Fall 2012	 Liberal Arts & Sciences	 Anthropology	 57525	 ANTH	 143	 9	 Biology of Human Behavior	 Online	 28
 Fall 2012	 Liberal Arts & Sciences	 Astronomy	 58800	 ASTR	 100	 4	 Introduction to Astronomy	 Online	 452
 Fall 2012	 Liberal Arts & Sciences	 Astronomy	 58883	 ASTR	 100	 OCE	 Introduction to Astronomy	 Online	 3
 Fall 2012	 Liberal Arts & Sciences	 Atmospheric Sciences	 60557	 ATMS	 491	 B	 Broadcast Meteorology	 Online	 10
 Fall 2012	 Liberal Arts & Sciences	 Chemistry	 36308	 CHEM	 104	 AL3	 General Chemistry II	 Online	 52
 Fall 2012	 Liberal Arts & Sciences	 Chemistry	 36279	 CHEM	 104	 DL3	 General Chemistry II	 Online	 43
 Fall 2012	 Liberal Arts & Sciences	 Chemistry	 55461	 CHEM	 232	 AL1	 Elementary Organic Chemistry I	 Online	 642
 Fall 2012	 Liberal Arts & Sciences	 Chemistry	 56846	 CHEM	 232	 BL1	 Elementary Organic Chemistry I	 Online	 44
 Fall 2012	 Liberal Arts & Sciences	 Chemistry	 56920	 CHEM	 232	 OL1	 Elementary Organic Chemistry I	 Online	 3
 Fall 2012	 Liberal Arts & Sciences	 Chemistry	 55457	 CHEM	 332	 AL1	 Elementary Organic Chem II	 Online	 166
 Fall 2012	 Liberal Arts & Sciences	 Chemistry	 56923	 CHEM	 332	 OL2	 Elementary Organic Chem II	 Online	 1
 Fall 2012	 Liberal Arts & Sciences	 Classics	 30030	 CLCV	 100	 GRE	 Vocab Building-GRK & LAT Roots	 Online	 35
 Fall 2012	 Liberal Arts & Sciences	 Classics	 39445	 CLCV	 102	 MED	 Medical Terms-GRK & LAT Roots	 Online	 145
 Fall 2012	 Liberal Arts & Sciences	 Classics	 60479	 CLCV	 102	 OL	 Medical Terms-GRK & LAT Roots	 Online	 1
 Fall 2012	 Liberal Arts & Sciences	 Communication	 58885	 CMN	 496	 JL	 Hlth Com Orgs Profs & Policy	 Online	 19
 Fall 2012	 Liberal Arts & Sciences	 Communication	 60949	 CMN	 501	 LW	 Intro to Health Communication	 Online	 17
 Fall 2012	 Liberal Arts & Sciences	 Communication	 60574	 CMN	 595	 EH	 Provider-Patient Comm	 Online	 18
 Fall 2012	 Liberal Arts & Sciences	 Communication	 58884	 CMN	 595	 SJ	 Health Comm Research Methods 2	 Online	 20
 Fall 2012	 Liberal Arts & Sciences	 English	 59384	 ENGL	 104	 ONL	 Intro to Film	 Online	 15
 Fall 2012	 Liberal Arts & Sciences	 English	 51336	 ENGL	 199	 E	 Writing To Get That Job	 Online	 10
 Fall 2012	 Liberal Arts & Sciences	 English	 41959	 ENGL	 199	 P	 Writing To Get That Job	 Online	 7
 Fall 2012	 Liberal Arts & Sciences	 Geology	 59928	 ESE	 118	 ONL	 Natural Disasters	 Online	 9
 Fall 2012	 Liberal Arts & Sciences	 Geology	 60496	 GEOL	 118	 OCE	 Natural Disasters	 Online	 2
 Fall 2012	 Liberal Arts & Sciences	 Geology	 59604	 GEOL	 118	 ONL	 Natural Disasters	 Online	 91
 Fall 2012	 Liberal Arts & Sciences	 Geology	 59929	 GLBL	 118	 ONL	 Natural Disasters	 Online	 10
 Fall 2012	 Liberal Arts & Sciences	 Latin American & Carib Studies	 41742	 LAST	 445	 AO1	 Native Latin Amer Languages	 Online	 2
 Fall 2012	 Liberal Arts & Sciences	 Linguistics	 60477	 EIL	 487	 OCE	 Technology for Lang. Teaching	 Online	 7
 Fall 2012	 Liberal Arts & Sciences	 Linguistics	 60497	 EIL	 487	 RS3	 Topics in Second Lang Studies	 Online	 7
 Fall 2012	 Liberal Arts & Sciences	 Linguistics	 60498	 EIL	 487	 RS4	 Topics in Second Lang Studies	 Online	 4
 Fall 2012	 Liberal Arts & Sciences	 Linguistics	 59026	 EIL	 489	 OCE	 Theoretical Foundations of SLA	 Online	 6
 Fall 2012	 Liberal Arts & Sciences	 Linguistics	 58157	 EIL	 489	 SI3	 Theoretical Foundations of SLA	 Online	 5
 Fall 2012	 Liberal Arts & Sciences	 Mathematics	 41584	 MATH	 461	 EGR	 Probability Theory	 Online	 2
 Fall 2012	 Liberal Arts & Sciences	 Mathematics	 45784	 MATH	 488	 EGR	 Math Methods In Engineering	 Online	 4
 Fall 2012	 Liberal Arts & Sciences	 Mathematics	 54837	 MATH	 490	 DDS	 Discrete Dynamical Systems	 Online	 1
 Fall 2012	 Liberal Arts & Sciences	 Mathematics	 52650	 MATH	 490	 DGS	 Using the Geometer's SketchPad	 Online	 1
 Fall 2012	 Liberal Arts & Sciences	 Political Science	 56931	 PS	 200	 ON1	 Foundations of Pol Sci	 Online	 62
 Fall 2012	 Liberal Arts & Sciences	 Political Science	 56933	 PS	 200	 ONL	 Foundations of Pol Sci	 Online	 2
 Fall 2012	 Liberal Arts & Sciences	 Political Science	 55238	 PS	 280	 ON1	 Intro to Intl Relations	 Online	 65
 Fall 2012	 Liberal Arts & Sciences	 Political Science	 55350	 PS	 280	 ON2	 Intro to Intl Relations	 Online	 1
 Fall 2012	 Liberal Arts & Sciences	 Sch Earth Soc Env Courses	 60220	 ENSU	 303	 MV	 Sustainable Business I	 Online	 15
 Fall 2012	 Liberal Arts & Sciences	 Sch Earth Soc Env Courses	 60475	 ENSU	 303	 ONL	 Sustainable Business I	 Online	 4
 Fall 2012	 Liberal Arts & Sciences	 Sch Earth Soc Env Courses	 60474	 ESE	 200	 ONL	 Earth Systems	 Online	 3
 Fall 2012	 Liberal Arts & Sciences	 Sch Earth Soc Env Courses	 60219	 ESE	 200	 TJ	 Earth Systems	 Online	 17
 Fall 2012	 Liberal Arts & Sciences	 Sch Earth Soc Env Courses	 58581	 ESE	 445	 0	 Earth Resources Sustainability	 Online	 52
 Fall 2012	 Liberal Arts & Sciences	 Sch Earth Soc Env Courses	 58898	 ESE	 445	 ONL	 Earth Resources Sustainability	 Online	 5
 Fall 2012	 Liberal Arts & Sciences	 School of Integrative Biology	 58066	 ANTH	 360	 A	 Evolution and Human Health	 Online	 11
 Fall 2012	 Liberal Arts & Sciences	 School of Integrative Biology	 59720	 ANTH	 360	 B	 Evolution and Human Health	 Online	 8
 Fall 2012	 Liberal Arts & Sciences	 School of Integrative Biology	 58881	 IB	 100	 ONL	 Biological Sciences	 Online	 270
 Fall 2012	 Liberal Arts & Sciences	 School of Integrative Biology	 59543	 IB	 105	 ONL	 Environmental Biology	 Online	 324
 Fall 2012	 Liberal Arts & Sciences	 School of Integrative Biology	 58032	 IB	 360	 A	 Evolution and Human Health	 Online	 62
 Fall 2012	 Liberal Arts & Sciences	 School of Integrative Biology	 59719	 IB	 360	 B	 Evolution and Human Health	 Online	 60
 Fall 2012	 Liberal Arts & Sciences	 School of Integrative Biology	 60472	 IB	 534	 ONL	 Evolution and Medicine	 Online	 8
 Fall 2012	 Liberal Arts & Sciences	 Slavic Languages & Literature	 60634	 RUSS	 102	 A	 First-Year Russian II	 Online	 1
 Fall 2012	 Liberal Arts & Sciences	 Sociology	 60686	 SOC	 100	 OCE	 Introduction to Sociology	 Online	 1
 Fall 2012	 Liberal Arts & Sciences	 Spanish, Italian & Portuguese	 32715	 SPAN	 200	 C1	 Readings in Hispanic Texts	 Online	 32
 Fall 2012	 Liberal Arts & Sciences	 Spanish, Italian & Portuguese	 49312	 SPAN	 200	 D1	 Readings in Hispanic Texts	 Online	 25
 Fall 2012	 Liberal Arts & Sciences	 Spanish, Italian & Portuguese	 32717	 SPAN	 200	 E1	 Readings in Hispanic Texts	 Online	 32
 Fall 2012	 Liberal Arts & Sciences	 Spanish, Italian & Portuguese	 49311	 SPAN	 200	 F1	 Readings in Hispanic Texts	 Online	 31
 Fall 2012	 Liberal Arts & Sciences	 Spanish, Italian & Portuguese	 53095	 SPAN	 200	 X1	 Readings in Hispanic Texts	 Online	 33
